timestamp,elapsed_sec,force_pct,position_pct,temperature_c,grasp_state
1771101405.3153648,0.00041675567626953125,15.0,4.9199997274963945,32,holding
1771101405.349241,0.034291744232177734,15.0,4.9199997274963945,32,holding
1771101405.3831716,0.0682227611541748,15.0,4.9199997274963945,32,holding
1771101405.4171221,0.1021728515625,15.0,4.9199997274963945,32,holding
1771101405.4510727,0.1361231803894043,15.0,4.9199997274963945,32,holding
1771101405.4851074,0.17015743255615234,15.0,4.9199997274963945,32,holding
1771101405.5189724,0.2040238380432129,15.0,4.9199997274963945,32,holding
1771101405.5528448,0.23789596557617188,15.0,4.9199997274963945,32,holding
1771101405.5868266,0.2718770503997803,15.0,4.9199997274963945,32,holding
1771101405.6206532,0.30570435523986816,15.0,4.9199997274963945,32,holding
1771101405.6542392,0.3392915725708008,15.0,4.9199997274963945,32,holding
1771101405.6880965,0.37314796447753906,15.0,4.9199997274963945,32,holding
1771101405.722274,0.40732455253601074,15.0,4.9199997274963945,32,holding
1771101405.7561245,0.4411754608154297,15.0,4.8800000437983755,32,holding
1771101405.7899818,0.4750332832336426,15.0,4.9199997274963945,32,holding
1771101405.8237596,0.5088112354278564,15.0,4.9199997274963945,32,holding
1771101405.8575826,0.5426342487335205,15.0,4.9199997274963945,32,holding
1771101405.8914351,0.5764861106872559,15.0,4.9199997274963945,32,holding
1771101405.9251785,0.6102304458618164,15.0,4.9199997274963945,32,holding
1771101405.9589648,0.6440162658691406,15.0,4.8800000437983755,32,holding
1771101405.9927151,0.6777667999267578,15.0,4.9199997274963945,32,holding
1771101406.0264847,0.7115368843078613,15.0,4.9199997274963945,32,holding
1771101406.0604017,0.7454526424407959,15.0,4.9199997274963945,32,holding
1771101406.0941632,0.77921462059021,15.0,4.9199997274963945,32,holding
1771101406.1277575,0.812809944152832,15.0,4.9199997274963945,32,holding
1771101406.161295,0.8463470935821533,15.0,4.9199997274963945,32,holding
1771101406.1950572,0.8801088333129883,15.0,4.9199997274963945,32,holding
1771101406.22889,0.9139411449432373,15.0,4.9199997274963945,32,holding
1771101406.2627811,0.9478321075439453,15.0,4.9199997274963945,32,holding
1771101406.2965093,0.9815607070922852,15.0,4.9199997274963945,32,holding
1771101406.3302917,1.0153429508209229,15.0,4.9199997274963945,32,holding
1771101406.364112,1.049163579940796,15.0,4.9199997274963945,32,holding
1771101406.3978095,1.0828614234924316,15.0,4.9199997274963945,32,holding
1771101406.4316502,1.116701364517212,15.0,4.9199997274963945,32,holding
1771101406.4654531,1.1505041122436523,15.0,4.9199997274963945,32,holding
1771101406.49934,1.1843910217285156,15.0,4.9199997274963945,32,holding
1771101406.533225,1.218276023864746,15.0,4.9199997274963945,32,holding
1771101406.5671651,1.2522165775299072,15.0,4.9199997274963945,32,holding
1771101406.6011417,1.2861926555633545,15.0,4.9199997274963945,32,holding
1771101406.634965,1.320016622543335,15.0,4.9199997274963945,32,holding
1771101406.6686065,1.353658676147461,15.0,4.9199997274963945,32,holding
1771101406.7021978,1.3872499465942383,15.0,4.9199997274963945,32,holding
1771101406.735886,1.42093825340271,15.0,4.9199997274963945,32,holding
1771101406.769601,1.4546527862548828,15.0,4.9199997274963945,32,holding
1771101406.8034008,1.4884514808654785,15.0,4.9199997274963945,32,holding
1771101406.8372924,1.5223441123962402,15.0,4.9199997274963945,32,holding
1771101406.871076,1.5561275482177734,15.0,4.9199997274963945,32,holding
1771101406.9049735,1.5900249481201172,15.0,4.9199997274963945,32,holding
1771101406.9389598,1.6240103244781494,15.0,4.9199997274963945,32,holding
1771101406.973041,1.6580915451049805,15.0,4.9199997274963945,32,holding
1771101407.0067284,1.6917800903320312,15.0,4.9199997274963945,32,holding
1771101407.0408485,1.7258985042572021,15.0,4.9199997274963945,32,holding
1771101407.0745904,1.7596423625946045,15.0,4.9199997274963945,32,holding
1771101407.1082535,1.7933053970336914,15.0,4.9199997274963945,32,holding
1771101407.1418457,1.8268978595733643,15.0,4.9199997274963945,32,holding
1771101407.175539,1.8605914115905762,15.0,4.9199997274963945,32,holding
1771101407.20937,1.8944206237792969,15.0,4.9199997274963945,32,holding
1771101407.243299,1.9283502101898193,15.0,4.9199997274963945,32,holding
1771101407.2771986,1.962249755859375,15.0,4.9199997274963945,32,holding
1771101407.3110805,1.996131420135498,15.0,4.9199997274963945,32,holding
1771101407.345067,2.0301177501678467,15.0,4.9199997274963945,32,holding
1771101407.3793452,2.0643961429595947,15.0,4.9199997274963945,32,holding
1771101407.4135957,2.0986459255218506,15.0,4.9199997274963945,32,holding
1771101407.4477675,2.1328182220458984,15.0,4.9199997274963945,32,holding
1771101407.4817357,2.1667861938476562,15.0,4.9199997274963945,32,holding
1771101407.5156007,2.200651168823242,15.0,4.9199997274963945,32,holding
1771101407.5494359,2.2344868183135986,15.0,4.8800000437983755,32,holding
1771101407.5833085,2.268359422683716,15.0,4.9199997274963945,32,holding
1771101407.6171598,2.302211284637451,15.0,4.9199997274963945,32,holding
1771101407.65074,2.335792064666748,15.0,4.9199997274963945,32,holding
1771101407.6843274,2.3693795204162598,15.0,4.9199997274963945,32,holding
1771101407.7181313,2.4031825065612793,15.0,4.9199997274963945,32,holding
1771101407.7520018,2.4370527267456055,15.0,4.9199997274963945,32,holding
1771101407.7860572,2.4711074829101562,15.0,4.9199997274963945,32,holding
1771101407.8200922,2.5051424503326416,15.0,4.9199997274963945,32,holding
1771101407.8537889,2.5388407707214355,15.0,4.9199997274963945,32,holding
1771101407.8874226,2.572474479675293,15.0,4.9199997274963945,32,holding
