force_pct,force_multiplier,start_temp_c,end_temp_c,temp_rise_c,wall_time_sec,heating_rate_c_per_sec,relative_power
20.0,1.0,48,53,5,288.67515420913696,0.01732050689882941,1.0
40.0,2.0,52,57,5,124.65366172790527,0.04011113617275061,2.315817684034495
60.0,3.0,57,46,-11,600.0075368881226,-0.01833310304242238,-1.0584622695806558
